feature,mean_importance
88_RandomForest_prediction,-0.0011794459549159474
84_Xgboost_prediction,-0.001102630038786989
Dist_Cluster_5,-0.0010250613944923104
2_DecisionTree_prediction,-0.000901832049606166
Dist_Cluster_7,-0.0008650978438839551
60_NeuralNetwork_prediction,-0.0008073210997035952
Dist_Cluster_22,-0.0007214470583683186
40_RandomForest_prediction,-0.0007118962380315175
83_Xgboost_prediction,-0.0005355414623273935
3_DecisionTree_prediction,-0.00040676001850294965
citric_acid,-0.00039516421237935085
Dist_Cluster_27,-0.0003626714934933939
fixed_acidity,-0.00034883556449832875
Dist_Cluster_15,-0.00031509954404320697
115_RandomForest_prediction,-0.00031176444795972814
Dist_Cluster_8,-0.00030408801975039256
Dist_Cluster_9,-0.00029000316476550657
volatile_acidity,-0.0002792811565694331
18_Xgboost_prediction,-0.0002433904931590125
116_ExtraTrees_prediction,-0.0002011586015919109
120_ExtraTrees_prediction,-0.00018131766840131513
13_Xgboost_prediction,-0.0001737156665137407
free_sulfur_dioxide,-0.00015401422925515051
70_NearestNeighbors_prediction,-0.00011418269434061434
114_RandomForest_prediction,-7.180017732009159e-05
31_CatBoost_prediction,-5.639722265475822e-05
73_LightGBM_prediction,-4.865244959000315e-05
100_NeuralNetwork_prediction,-4.2752307001758806e-05
111_RandomForest_prediction,-2.6484184845920745e-05
Cluster,-5.418002984114434e-06
Dist_Cluster_21,2.6834113016027673e-05
80_Xgboost_prediction,2.8747487363778303e-05
69_NearestNeighbors_prediction,3.401756783882881e-05
127_DecisionTree_prediction,4.8215564297937606e-05
Dist_Cluster_28,5.6057231813211315e-05
71_NearestNeighbors_prediction,6.289653135805872e-05
72_NearestNeighbors_prediction,6.595253826168213e-05
Dist_Cluster_25,6.769037213192331e-05
Dist_Cluster_19,8.80413545358616e-05
66_NearestNeighbors_prediction,8.968166546349243e-05
residual_sugar,9.019944559263138e-05
chlorides,9.116069611534439e-05
12_Xgboost_prediction,9.338253852051449e-05
Dist_Cluster_4,0.00011150878259069685
94_ExtraTrees_prediction,0.00011855698668563618
Dist_Cluster_6,0.00014090531597390487
Dist_Cluster_10,0.00014212911356082937
126_DecisionTree_prediction,0.0001431622037309399
89_RandomForest_prediction,0.0001494525021084936
Dist_Cluster_1,0.00015794944449156744
Dist_Cluster_11,0.00016939610848091258
113_RandomForest_prediction,0.0001824713343106632
Dist_Cluster_16,0.00020152606445758003
49_ExtraTrees_prediction,0.00022386508346902145
Dist_Cluster_18,0.00023135995634799845
Dist_Cluster_24,0.0002469046036195799
98_NeuralNetwork_prediction,0.0002544216855275616
sulphates,0.00027745446229452406
67_NearestNeighbors_prediction,0.00028035483565163054
121_ExtraTrees_prediction,0.00028509458418903846
37_CatBoost_prediction,0.0002910201422795078
110_RandomForest_prediction,0.00029585000519780633
Dist_Cluster_3,0.0003033940887715358
58_NeuralNetwork_prediction,0.000339882811868919
Dist_Cluster_14,0.0003451915669385075
102_DecisionTree_prediction,0.00037625694014350455
1_DecisionTree_prediction,0.0004009783109758192
4_Linear_prediction,0.0004493651051279635
Dist_Cluster_20,0.0004602276912408665
119_ExtraTrees_prediction,0.0005440739911901748
87_RandomForest_prediction,0.0005505610787025162
125_DecisionTree_prediction,0.0005608906177812956
85_Xgboost_prediction,0.0005990760080455959
123_NeuralNetwork_prediction,0.0006164845514054718
8_Default_NeuralNetwork_prediction,0.0006540976627856688
Dist_Cluster_2,0.0006594833750521833
101_NeuralNetwork_prediction,0.0006782029100832254
Dist_Cluster_0,0.0007165932036940603
82_CatBoost_prediction,0.0007197442830875755
Dist_Cluster_17,0.0007399617675960979
20_Xgboost_prediction,0.0007591739533339359
32_CatBoost_prediction,0.0007607136656290203
112_RandomForest_prediction,0.0007662971736800084
128_NearestNeighbors_prediction,0.0007974106231101175
pH,0.0009208533465892233
95_ExtraTrees_prediction,0.0009215983702375418
62_NeuralNetwork_prediction,0.000946100074692613
11_Default_NearestNeighbors_prediction,0.00104569570011408
118_ExtraTrees_prediction,0.0010470379061618186
61_NeuralNetwork_prediction,0.0010959583217127645
alcohol,0.001129159346360087
Dist_Cluster_12,0.00112917647958235
81_Xgboost_prediction,0.0012355550959911922
104_LightGBM_prediction,0.0012733862336024471
129_NearestNeighbors_prediction,0.0012756172094295249
78_CatBoost_prediction,0.0014604628037372946
33_CatBoost_prediction,0.0017734144424869647
124_NeuralNetwork_prediction,0.0018534909644369324
79_CatBoost_prediction,0.0021007905712939756
109_CatBoost_prediction,0.0021045179411811167
Dist_Cluster_23,0.0023809224220119217
68_NearestNeighbors_prediction,0.0026296146612832306
77_LightGBM_prediction,0.0028311361258520408
107_Xgboost_prediction,0.003049608105557433
26_LightGBM_prediction,0.0032342778237178125
117_ExtraTrees_prediction,0.0036787354818094142
Dist_Cluster_26,0.003995569979531733
26_LightGBM_KMeansFeatures_prediction,0.005023247167202027
106_CatBoost_prediction,0.005939880938943198
Dist_Cluster_13,0.006746700966391095
92_ExtraTrees_prediction,0.0068248999610785455
24_LightGBM_KMeansFeatures_prediction,0.009866411020867527
108_CatBoost_prediction,0.01324180765825187
103_LightGBM_prediction,0.014423847170538472
22_LightGBM_prediction,0.02587997724759693
105_LightGBM_prediction,0.028210633910199557
22_LightGBM_KMeansFeatures_prediction,0.031414743204747964
