feature,mean_importance
92_ExtraTrees_prediction,-0.0037422707221206773
108_CatBoost_prediction,-0.003353535661102458
111_RandomForest_prediction,-0.003231379947680324
67_NearestNeighbors_prediction,-0.0030832737614607474
Dist_Cluster_7,-0.003019470782504974
116_ExtraTrees_prediction,-0.0026761729848765346
31_CatBoost_prediction,-0.002447034368202916
104_LightGBM_prediction,-0.0023943593349446068
81_Xgboost_prediction,-0.0021968129456465535
37_CatBoost_prediction,-0.0021946499956498776
Dist_Cluster_6,-0.002115132889918614
26_LightGBM_prediction,-0.002053109860198388
121_ExtraTrees_prediction,-0.001957933884914542
115_RandomForest_prediction,-0.0018450199634603703
26_LightGBM_KMeansFeatures_prediction,-0.001610817499071182
119_ExtraTrees_prediction,-0.0015518737650927483
Dist_Cluster_4,-0.0015474017906349391
Dist_Cluster_20,-0.0013660166961480425
Dist_Cluster_10,-0.0013023813153925311
112_RandomForest_prediction,-0.0012893582199646537
Dist_Cluster_3,-0.001199397737091068
32_CatBoost_prediction,-0.0011787928748056454
79_CatBoost_prediction,-0.001154287557946887
110_RandomForest_prediction,-0.0009180942124470514
Dist_Cluster_0,-0.0008899336646540412
Dist_Cluster_5,-0.0008704316059997108
Dist_Cluster_21,-0.0008689920252966332
Dist_Cluster_14,-0.0008366156551352866
118_ExtraTrees_prediction,-0.0008157946112270608
Dist_Cluster_17,-0.0008141119561059451
69_NearestNeighbors_prediction,-0.0008082200396821726
Dist_Cluster_18,-0.0008017994057138433
Dist_Cluster_16,-0.0007986146370551506
71_NearestNeighbors_prediction,-0.00078737152144156
Dist_Cluster_1,-0.0007851409360784878
127_DecisionTree_prediction,-0.0007739260871435283
60_NeuralNetwork_prediction,-0.0006813187999093806
Dist_Cluster_27,-0.0006629353580908437
82_CatBoost_prediction,-0.0006602480465223715
free_sulfur_dioxide,-0.0006550251765731097
77_LightGBM_prediction,-0.0006281112892121077
102_DecisionTree_prediction,-0.0004876453635878519
78_CatBoost_prediction,-0.00048680105069918154
Dist_Cluster_15,-0.0004802462048388523
4_Linear_prediction,-0.0004532692890947043
Dist_Cluster_11,-0.0004517114247479692
Dist_Cluster_8,-0.00043824001582020155
3_DecisionTree_prediction,-0.0004261412389623964
pH,-0.0003661096168417144
109_CatBoost_prediction,-0.0003327247175665127
126_DecisionTree_prediction,-0.0003109755398652436
Dist_Cluster_23,-0.00028089189003678295
8_Default_NeuralNetwork_prediction,-0.00027946230618992597
Dist_Cluster_25,-0.00024271269356123114
Dist_Cluster_13,-0.0001853680489312115
fixed_acidity,-0.00017754456265832718
20_Xgboost_prediction,-0.00017729586237388295
Dist_Cluster_22,-0.00015882034887525486
volatile_acidity,-0.00015593980928564345
2_DecisionTree_prediction,-0.00012279239743913096
Dist_Cluster_19,-0.00011959727225057115
70_NearestNeighbors_prediction,-9.086496228005725e-05
12_Xgboost_prediction,-6.0004110421230106e-05
66_NearestNeighbors_prediction,1.1754458346824314e-05
114_RandomForest_prediction,2.084834504136879e-05
94_ExtraTrees_prediction,4.496483807375773e-05
49_ExtraTrees_prediction,8.93149353487499e-05
Dist_Cluster_9,0.00010510555489759988
chlorides,0.00012499160682567513
129_NearestNeighbors_prediction,0.0001266854713801835
residual_sugar,0.00015498446822700406
33_CatBoost_prediction,0.00015815009398558732
85_Xgboost_prediction,0.00016902202688037215
Dist_Cluster_28,0.00019698503020446623
100_NeuralNetwork_prediction,0.00020425062343448763
125_DecisionTree_prediction,0.00028462156815590723
Dist_Cluster_24,0.000284941118323212
22_LightGBM_KMeansFeatures_prediction,0.0002933881733143795
117_ExtraTrees_prediction,0.0003222584408618001
68_NearestNeighbors_prediction,0.0003236376332826807
Dist_Cluster_12,0.0003352364203880187
Cluster,0.00041794598175737274
101_NeuralNetwork_prediction,0.00046277441900961503
13_Xgboost_prediction,0.00046311062480556273
Dist_Cluster_26,0.00047598981863626876
alcohol,0.0005230724499212692
128_NearestNeighbors_prediction,0.0005638052673401894
61_NeuralNetwork_prediction,0.0006034552074465904
98_NeuralNetwork_prediction,0.0006167229306234701
62_NeuralNetwork_prediction,0.0006500302124362145
95_ExtraTrees_prediction,0.0006840286781337413
107_Xgboost_prediction,0.0007222892267304104
24_LightGBM_KMeansFeatures_prediction,0.0007503402035337947
40_RandomForest_prediction,0.0007775844722403668
Dist_Cluster_2,0.0007968440814060118
sulphates,0.0008015792575920888
72_NearestNeighbors_prediction,0.0008063508050007995
73_LightGBM_prediction,0.000830583094926507
123_NeuralNetwork_prediction,0.0008321435454864967
11_Default_NearestNeighbors_prediction,0.0008554609243496159
83_Xgboost_prediction,0.0008886283371459247
citric_acid,0.0009064863588299943
1_DecisionTree_prediction,0.0012547569538392533
80_Xgboost_prediction,0.0012662511590014526
124_NeuralNetwork_prediction,0.0013167030981895533
87_RandomForest_prediction,0.0013382346110535237
113_RandomForest_prediction,0.0013649387491129427
88_RandomForest_prediction,0.0013862028952395856
58_NeuralNetwork_prediction,0.00138718427729998
18_Xgboost_prediction,0.0019627029015796714
120_ExtraTrees_prediction,0.0027500346451734157
89_RandomForest_prediction,0.0038080436690294704
84_Xgboost_prediction,0.004817981807582206
105_LightGBM_prediction,0.007942838397403607
103_LightGBM_prediction,0.008276320068558097
106_CatBoost_prediction,0.010362595204906155
22_LightGBM_prediction,0.02039010595529651
