feature,mean_importance
85_Xgboost_prediction,-0.0020009001965458294
32_CatBoost_prediction,-0.0014273069315978715
18_Xgboost_prediction,-0.0013596590752823156
13_Xgboost_prediction,-0.0011460837939740176
33_CatBoost_prediction,-0.0011054276536618612
1_DecisionTree_prediction,-0.0009767865478978789
127_DecisionTree_prediction,-0.0008292203712780722
84_Xgboost_prediction,-0.0007964552530349223
72_NearestNeighbors_prediction,-0.0007262488522936539
Dist_Cluster_1,-0.0006724227203812827
80_Xgboost_prediction,-0.0006590460974258527
3_DecisionTree_prediction,-0.0006406211490311064
94_ExtraTrees_prediction,-0.0006329534636527079
12_Xgboost_prediction,-0.0005849306730233206
113_RandomForest_prediction,-0.0005735701323137277
pH,-0.0005487362999149093
129_NearestNeighbors_prediction,-0.0005334112629644006
Dist_Cluster_19,-0.0004797602936473244
123_NeuralNetwork_prediction,-0.0004207229923790412
sulphates,-0.00040048282860619675
Dist_Cluster_10,-0.00039934248450004264
83_Xgboost_prediction,-0.00038507871451828326
free_sulfur_dioxide,-0.00033997066386092233
Dist_Cluster_27,-0.00031423952831827195
Cluster,-0.0002807525601201788
Dist_Cluster_2,-0.00021145502737019984
60_NeuralNetwork_prediction,-0.00020911496661216722
Dist_Cluster_17,-0.00016500429875103694
Dist_Cluster_8,-0.00015963312612682357
118_ExtraTrees_prediction,-0.00011003687816881768
Dist_Cluster_22,-0.00010442393352887436
fixed_acidity,-8.988203693598429e-05
Dist_Cluster_25,-8.271163218942501e-05
Dist_Cluster_26,-2.0218103809332978e-05
61_NeuralNetwork_prediction,-7.296818632263058e-06
71_NearestNeighbors_prediction,-7.096117881455477e-06
Dist_Cluster_28,2.7686419706951514e-05
4_Linear_prediction,3.831788071529951e-05
Dist_Cluster_16,3.990034302661094e-05
Dist_Cluster_13,5.189373765873695e-05
87_RandomForest_prediction,6.158077601696732e-05
chlorides,7.597468921046734e-05
69_NearestNeighbors_prediction,7.88053423524171e-05
115_RandomForest_prediction,8.326688706635776e-05
11_Default_NearestNeighbors_prediction,9.416108010477098e-05
volatile_acidity,0.0001784014550123447
98_NeuralNetwork_prediction,0.00018045731574185543
Dist_Cluster_18,0.0002635414276810244
114_RandomForest_prediction,0.0002726359733615791
119_ExtraTrees_prediction,0.00028937833771879306
66_NearestNeighbors_prediction,0.0003120448532848319
citric_acid,0.0003253472310737582
70_NearestNeighbors_prediction,0.000339100425665162
126_DecisionTree_prediction,0.0003458716876265866
alcohol,0.000346321279481876
124_NeuralNetwork_prediction,0.00035744673830722106
Dist_Cluster_21,0.0003785867271357546
Dist_Cluster_5,0.0003879973579068108
107_Xgboost_prediction,0.0004019563604008014
37_CatBoost_prediction,0.00043421755109630534
120_ExtraTrees_prediction,0.00046597627574629374
102_DecisionTree_prediction,0.0004684852865275091
Dist_Cluster_11,0.0004942626813539963
88_RandomForest_prediction,0.0005325568220695742
49_ExtraTrees_prediction,0.0005329587295726968
125_DecisionTree_prediction,0.0005336722179476894
Dist_Cluster_20,0.0005446726203654495
Dist_Cluster_23,0.0005603107194850687
Dist_Cluster_7,0.000586853220059369
31_CatBoost_prediction,0.0006102529746706998
Dist_Cluster_0,0.0006403656437126038
68_NearestNeighbors_prediction,0.0006414905600298781
110_RandomForest_prediction,0.0006479343804771332
residual_sugar,0.0006492939211245385
20_Xgboost_prediction,0.0006591794685537721
Dist_Cluster_6,0.0006979780630600896
95_ExtraTrees_prediction,0.0007040519800570966
101_NeuralNetwork_prediction,0.0007258605886712677
92_ExtraTrees_prediction,0.0007323847940141181
100_NeuralNetwork_prediction,0.0007326867810177439
Dist_Cluster_4,0.0007407019380354041
2_DecisionTree_prediction,0.000793765927863288
128_NearestNeighbors_prediction,0.0008679419419777568
Dist_Cluster_9,0.0008766580478255292
121_ExtraTrees_prediction,0.0008870021378329374
67_NearestNeighbors_prediction,0.0009138730944363682
8_Default_NeuralNetwork_prediction,0.0009552591259993526
Dist_Cluster_15,0.0009726387358820587
Dist_Cluster_24,0.001005152410127097
62_NeuralNetwork_prediction,0.0011970392491613135
81_Xgboost_prediction,0.0012928109938225353
116_ExtraTrees_prediction,0.0015766136710240852
104_LightGBM_prediction,0.0018083789913671989
89_RandomForest_prediction,0.0018403407152559836
40_RandomForest_prediction,0.0019426112658058824
Dist_Cluster_3,0.0019716221572099847
117_ExtraTrees_prediction,0.001975926633659042
Dist_Cluster_14,0.00202901397758265
112_RandomForest_prediction,0.002103971562895801
111_RandomForest_prediction,0.002149202654402549
26_LightGBM_prediction,0.0023422645098401863
73_LightGBM_prediction,0.002598475182983595
78_CatBoost_prediction,0.0029275409212265345
82_CatBoost_prediction,0.003453319948042066
58_NeuralNetwork_prediction,0.003493330460119659
24_LightGBM_KMeansFeatures_prediction,0.0038491170280865795
Dist_Cluster_12,0.004115566585011987
79_CatBoost_prediction,0.005233127359903156
26_LightGBM_KMeansFeatures_prediction,0.006484728311500399
103_LightGBM_prediction,0.007413886883896892
77_LightGBM_prediction,0.007901201788984302
22_LightGBM_KMeansFeatures_prediction,0.00889960367891739
109_CatBoost_prediction,0.009785245293335177
108_CatBoost_prediction,0.013960808473528907
106_CatBoost_prediction,0.01748408142847121
105_LightGBM_prediction,0.037493511498559375
22_LightGBM_prediction,0.04433770391043886
