feature,mean_importance
13_Xgboost_prediction,-0.0012837795227240377
3_DecisionTree_prediction,-0.0010904815088314868
2_DecisionTree_prediction,-0.0010728656963049587
119_ExtraTrees_prediction,-0.0010413974276913263
Dist_Cluster_14,-0.0010340613498434736
120_ExtraTrees_prediction,-0.0009590077655456386
40_RandomForest_prediction,-0.0009194648413663464
102_DecisionTree_prediction,-0.0008651556892702916
Dist_Cluster_5,-0.0008081976207574449
Dist_Cluster_21,-0.0007110450233536736
95_ExtraTrees_prediction,-0.0006107796516145681
116_ExtraTrees_prediction,-0.0005899506580075875
67_NearestNeighbors_prediction,-0.0005731814684011183
Dist_Cluster_9,-0.0005517602120232001
Dist_Cluster_20,-0.0005338214286275123
Dist_Cluster_15,-0.0005207280554653249
1_DecisionTree_prediction,-0.00048387930921621746
Dist_Cluster_23,-0.00048210357607226807
73_LightGBM_prediction,-0.00047742919737300273
85_Xgboost_prediction,-0.00040565904292704235
Dist_Cluster_26,-0.00033951339732043453
sulphates,-0.00032213922137551697
citric_acid,-0.0003036107686020806
Dist_Cluster_2,-0.0003027352184726273
80_Xgboost_prediction,-0.0002498134272164609
87_RandomForest_prediction,-0.00022164564029294453
70_NearestNeighbors_prediction,-0.00020480869890984187
12_Xgboost_prediction,-0.00019570251935541183
Dist_Cluster_25,-0.00014382805920641893
32_CatBoost_prediction,-0.00014086932544524756
125_DecisionTree_prediction,-0.00012938896831733438
121_ExtraTrees_prediction,-8.334085715366868e-05
Dist_Cluster_27,-5.869253669245067e-05
89_RandomForest_prediction,-1.2547812716989793e-05
71_NearestNeighbors_prediction,0.0
72_NearestNeighbors_prediction,2.6973885630798834e-05
110_RandomForest_prediction,3.459536591887691e-05
83_Xgboost_prediction,3.795761511304896e-05
114_RandomForest_prediction,4.4005752025211285e-05
Dist_Cluster_1,5.7517757760183755e-05
volatile_acidity,8.042269549854986e-05
62_NeuralNetwork_prediction,8.548443978434461e-05
66_NearestNeighbors_prediction,0.00010389203096881073
49_ExtraTrees_prediction,0.00018269989887292892
118_ExtraTrees_prediction,0.0001971170859760063
Dist_Cluster_7,0.00023806381055959668
11_Default_NearestNeighbors_prediction,0.0002498307954917567
fixed_acidity,0.00025536871526025127
Cluster,0.000266506519014631
4_Linear_prediction,0.0002729992310079865
128_NearestNeighbors_prediction,0.00032488383400499645
69_NearestNeighbors_prediction,0.0003438020282282017
60_NeuralNetwork_prediction,0.00039477667396260464
68_NearestNeighbors_prediction,0.0003962925198962242
20_Xgboost_prediction,0.0004061608611280243
127_DecisionTree_prediction,0.000419119528927836
Dist_Cluster_12,0.0004227090983837889
92_ExtraTrees_prediction,0.00042294467582598694
18_Xgboost_prediction,0.0004310251198102799
Dist_Cluster_11,0.0004368358501453673
residual_sugar,0.0004375749223097136
113_RandomForest_prediction,0.00043833967512957317
126_DecisionTree_prediction,0.00046445503287181336
alcohol,0.0004672742688567766
Dist_Cluster_3,0.00047734691172383046
Dist_Cluster_24,0.0004792341912157161
111_RandomForest_prediction,0.0004806169137644978
112_RandomForest_prediction,0.0005059180223791592
129_NearestNeighbors_prediction,0.0005203289203682515
88_RandomForest_prediction,0.0005254537694899475
98_NeuralNetwork_prediction,0.0005508325367262756
115_RandomForest_prediction,0.0006030560557167663
61_NeuralNetwork_prediction,0.0006062422698811965
Dist_Cluster_8,0.0006131485713688379
pH,0.0006265986097376497
107_Xgboost_prediction,0.0006403497742099362
Dist_Cluster_19,0.0006500262154503945
81_Xgboost_prediction,0.0006707746376592661
Dist_Cluster_28,0.0007102701899489138
chlorides,0.000712100774223745
Dist_Cluster_17,0.0007230971151174659
94_ExtraTrees_prediction,0.0007340436397599958
Dist_Cluster_6,0.0007342229032182956
Dist_Cluster_18,0.0007691148323765717
Dist_Cluster_22,0.0007934692780216191
free_sulfur_dioxide,0.0008155477273029677
Dist_Cluster_0,0.0008608964112562622
123_NeuralNetwork_prediction,0.0010066242657356117
100_NeuralNetwork_prediction,0.0010478523760978908
8_Default_NeuralNetwork_prediction,0.0010932826413225017
117_ExtraTrees_prediction,0.0011815282851116104
84_Xgboost_prediction,0.0011874672903604221
124_NeuralNetwork_prediction,0.0012348548323064645
101_NeuralNetwork_prediction,0.001266943366089801
31_CatBoost_prediction,0.0013367482475702187
26_LightGBM_prediction,0.0013984124774930828
Dist_Cluster_4,0.0014326679250635022
Dist_Cluster_16,0.0016853606949647105
37_CatBoost_prediction,0.0017556638784035905
109_CatBoost_prediction,0.0017844883096838516
33_CatBoost_prediction,0.001872633458514117
Dist_Cluster_13,0.0019124836449834538
Dist_Cluster_10,0.001970712383005424
58_NeuralNetwork_prediction,0.0025935798515751675
78_CatBoost_prediction,0.003003115810528667
82_CatBoost_prediction,0.0032035488293671753
24_LightGBM_KMeansFeatures_prediction,0.003686833070616047
103_LightGBM_prediction,0.0039765838717677245
79_CatBoost_prediction,0.004479714015290149
26_LightGBM_KMeansFeatures_prediction,0.004769725024611459
104_LightGBM_prediction,0.0050706064291988874
77_LightGBM_prediction,0.006665695656023862
108_CatBoost_prediction,0.008052509322722112
22_LightGBM_KMeansFeatures_prediction,0.013947437054669965
22_LightGBM_prediction,0.017911864452142934
105_LightGBM_prediction,0.021067761003766162
106_CatBoost_prediction,0.02251655886179347
