feature,mean_importance
84_Xgboost_prediction,-0.001252988291150081
18_Xgboost_prediction,-0.0009763886330264815
88_RandomForest_prediction,-0.0006218915631927335
pH,-0.000561267081798944
2_DecisionTree_prediction,-0.00048752971857943803
114_RandomForest_prediction,-0.0004598309031667025
87_RandomForest_prediction,-0.00033017347733761416
Dist_Cluster_20,-0.0003280769779275272
Dist_Cluster_22,-0.0003230598450850608
85_Xgboost_prediction,-0.00030037228275624494
Dist_Cluster_21,-0.00029558543712927544
Dist_Cluster_18,-0.00028874341695779294
121_ExtraTrees_prediction,-0.000283041453490418
12_Xgboost_prediction,-0.0002796529182112928
Dist_Cluster_14,-0.00024069213840119952
citric_acid,-0.00022539317863560227
100_NeuralNetwork_prediction,-0.00020846981280588927
11_Default_NearestNeighbors_prediction,-0.0001845738677452524
70_NearestNeighbors_prediction,-0.00017853510439087562
alcohol,-0.00016238115364887175
fixed_acidity,-0.0001592486274490601
102_DecisionTree_prediction,-0.00010321829173306484
66_NearestNeighbors_prediction,-0.00010293736397707365
13_Xgboost_prediction,-9.263145160699482e-05
Dist_Cluster_7,-8.553669883760717e-05
free_sulfur_dioxide,-5.53113733395727e-05
Dist_Cluster_15,-4.37646551205928e-05
Dist_Cluster_16,-4.122609670291766e-05
94_ExtraTrees_prediction,-2.15662170127362e-05
Dist_Cluster_4,-1.849230549166858e-05
Dist_Cluster_1,-1.323752144390955e-05
126_DecisionTree_prediction,-1.0990111602515728e-05
Dist_Cluster_27,-4.668672653707073e-06
3_DecisionTree_prediction,0.0
71_NearestNeighbors_prediction,2.2385511093458987e-06
69_NearestNeighbors_prediction,6.738856810306615e-06
Dist_Cluster_6,1.713042595239411e-05
89_RandomForest_prediction,4.671535270719396e-05
83_Xgboost_prediction,5.0769963910157755e-05
chlorides,7.29925648173757e-05
Dist_Cluster_3,7.616667161250979e-05
Dist_Cluster_2,0.00011730308034079151
volatile_acidity,0.0001367482941788234
Dist_Cluster_26,0.0001458204944701169
67_NearestNeighbors_prediction,0.00014985082522295246
61_NeuralNetwork_prediction,0.0001749334581402584
Dist_Cluster_11,0.00019718580065252177
Dist_Cluster_0,0.00020053950678952103
111_RandomForest_prediction,0.00020992386420237708
Dist_Cluster_17,0.0002327700836216029
60_NeuralNetwork_prediction,0.0002348818587099122
1_DecisionTree_prediction,0.0002899689550338147
95_ExtraTrees_prediction,0.0003125435357989592
Dist_Cluster_5,0.00033562814643762763
Dist_Cluster_23,0.00034317641553817114
62_NeuralNetwork_prediction,0.0003517534020137991
4_Linear_prediction,0.0003517789572008878
118_ExtraTrees_prediction,0.0003601164383960631
33_CatBoost_prediction,0.000372319259750542
82_CatBoost_prediction,0.00044503444179727625
Dist_Cluster_19,0.00045228241439544404
107_Xgboost_prediction,0.0004714461514964241
72_NearestNeighbors_prediction,0.0004749786601499384
115_RandomForest_prediction,0.00047632811206150817
109_CatBoost_prediction,0.000487677972738465
sulphates,0.0005107136636006593
Cluster,0.0005291762376479214
80_Xgboost_prediction,0.000574078113901344
119_ExtraTrees_prediction,0.0006435504525992619
Dist_Cluster_10,0.0006564933907825754
127_DecisionTree_prediction,0.000717545502490291
Dist_Cluster_12,0.0007471472972052972
101_NeuralNetwork_prediction,0.0007713414576566935
49_ExtraTrees_prediction,0.0008072813961882197
Dist_Cluster_8,0.0008139617289329992
116_ExtraTrees_prediction,0.0008217872222764045
120_ExtraTrees_prediction,0.0009618664886918759
Dist_Cluster_9,0.001003637215697828
113_RandomForest_prediction,0.0010231116850720535
68_NearestNeighbors_prediction,0.00106201589114564
8_Default_NeuralNetwork_prediction,0.001062536465414643
117_ExtraTrees_prediction,0.0012868668927879744
40_RandomForest_prediction,0.0013720911648499202
110_RandomForest_prediction,0.0014347909294290528
124_NeuralNetwork_prediction,0.00145405636116398
residual_sugar,0.001458392961685495
112_RandomForest_prediction,0.0014910165767400118
123_NeuralNetwork_prediction,0.0015256640240582265
98_NeuralNetwork_prediction,0.0015424842250079008
81_Xgboost_prediction,0.0016082747177277091
32_CatBoost_prediction,0.0016266188099900215
20_Xgboost_prediction,0.0016292498723713522
125_DecisionTree_prediction,0.001639567652897933
128_NearestNeighbors_prediction,0.001696359088289845
Dist_Cluster_25,0.0017047372888785884
Dist_Cluster_24,0.0018509869159800464
129_NearestNeighbors_prediction,0.001879140637561938
92_ExtraTrees_prediction,0.0019674434561697263
37_CatBoost_prediction,0.002164874952373619
22_LightGBM_KMeansFeatures_prediction,0.0024483618570795285
78_CatBoost_prediction,0.0028804084493202374
58_NeuralNetwork_prediction,0.002982030093908261
Dist_Cluster_28,0.003482163200384425
31_CatBoost_prediction,0.003483700407053714
79_CatBoost_prediction,0.003591943345591553
26_LightGBM_prediction,0.0036854952897068414
73_LightGBM_prediction,0.004328553647444866
Dist_Cluster_13,0.0054151103048595385
104_LightGBM_prediction,0.0068885624749224885
103_LightGBM_prediction,0.0074606245179647205
108_CatBoost_prediction,0.009866397789090386
77_LightGBM_prediction,0.010304896539700837
26_LightGBM_KMeansFeatures_prediction,0.010984849163509858
24_LightGBM_KMeansFeatures_prediction,0.013719224493295845
106_CatBoost_prediction,0.017280008390506273
22_LightGBM_prediction,0.0427145675359058
105_LightGBM_prediction,0.05049447381596887
