feature,mean_importance
84_Xgboost_prediction,-0.0016892476474693386
126_DecisionTree_prediction,-0.001317531424021623
115_RandomForest_prediction,-0.0012456784324566205
Dist_Cluster_22,-0.0009182999349857778
Dist_Cluster_2,-0.0008490596696195451
117_ExtraTrees_prediction,-0.0007725567264810884
33_CatBoost_prediction,-0.0006989077595895621
32_CatBoost_prediction,-0.000641159618553977
40_RandomForest_prediction,-0.0005516682339217205
Dist_Cluster_18,-0.0005164404081041685
Dist_Cluster_27,-0.0004648762186876709
72_NearestNeighbors_prediction,-0.0004335194031573009
Dist_Cluster_15,-0.00042001466281793576
89_RandomForest_prediction,-0.0003737293480242876
Dist_Cluster_21,-0.0003504852094157629
Dist_Cluster_0,-0.00031087785530632407
Dist_Cluster_7,-0.0002867882416470069
3_DecisionTree_prediction,-0.00020937623587835574
85_Xgboost_prediction,-0.00020725245336679078
95_ExtraTrees_prediction,-0.00020531016399656378
107_Xgboost_prediction,-0.0001925258052975387
101_NeuralNetwork_prediction,-0.00018458354458990024
114_RandomForest_prediction,-0.0001712553316990828
111_RandomForest_prediction,-0.00016790923580141116
8_Default_NeuralNetwork_prediction,-0.0001677910868815191
Dist_Cluster_13,-0.0001659251044126009
12_Xgboost_prediction,-0.00016376993342064327
residual_sugar,-0.00016273922805856155
volatile_acidity,-0.00015451955722192156
120_ExtraTrees_prediction,-0.00013072254841477448
alcohol,-0.0001291934569934705
Dist_Cluster_10,-0.00012702334846543818
102_DecisionTree_prediction,-0.00011653483029050449
Dist_Cluster_12,-0.00011216781153808864
127_DecisionTree_prediction,-0.00010120655121927946
119_ExtraTrees_prediction,-8.310304757896958e-05
110_RandomForest_prediction,-5.5180088965278704e-05
Dist_Cluster_1,-5.153924489949002e-05
citric_acid,-4.53006202476347e-05
87_RandomForest_prediction,-1.5043934362402033e-05
sulphates,-1.0249244759652499e-05
Cluster,0.0
71_NearestNeighbors_prediction,0.0
70_NearestNeighbors_prediction,0.0
Dist_Cluster_17,0.0
67_NearestNeighbors_prediction,0.0
66_NearestNeighbors_prediction,0.0
Dist_Cluster_20,9.645338516772739e-08
Dist_Cluster_28,3.778148783606383e-06
Dist_Cluster_23,2.2407806951574295e-05
69_NearestNeighbors_prediction,2.597815975198259e-05
Dist_Cluster_25,3.772311626610847e-05
11_Default_NearestNeighbors_prediction,4.337544371215696e-05
Dist_Cluster_14,6.40872098012224e-05
118_ExtraTrees_prediction,7.406001370315884e-05
fixed_acidity,8.898373750496625e-05
62_NeuralNetwork_prediction,9.030625507111534e-05
Dist_Cluster_24,0.00010765539316688333
60_NeuralNetwork_prediction,0.00011624984542839556
chlorides,0.00013200489496334455
81_Xgboost_prediction,0.00013345248730862737
113_RandomForest_prediction,0.00015599198503541968
4_Linear_prediction,0.0001909330332724002
78_CatBoost_prediction,0.00020261095598235191
Dist_Cluster_11,0.00020273534250476733
free_sulfur_dioxide,0.00022527781458081542
Dist_Cluster_4,0.00025645626724060124
98_NeuralNetwork_prediction,0.0003085660798899825
37_CatBoost_prediction,0.0003310782884366148
80_Xgboost_prediction,0.0003365228431045697
pH,0.000345631572735261
94_ExtraTrees_prediction,0.0003512424317082985
88_RandomForest_prediction,0.0003569340079219163
Dist_Cluster_3,0.00037918350834023065
83_Xgboost_prediction,0.00040396930561190645
112_RandomForest_prediction,0.0004249237174530407
18_Xgboost_prediction,0.0004534107767993234
68_NearestNeighbors_prediction,0.00047017562657973854
Dist_Cluster_8,0.00047594773017651805
20_Xgboost_prediction,0.0005121279361701925
Dist_Cluster_19,0.0005227772254277063
92_ExtraTrees_prediction,0.0005379130148664091
125_DecisionTree_prediction,0.0005621358598654203
124_NeuralNetwork_prediction,0.0005806321697373829
49_ExtraTrees_prediction,0.0005813519451228988
13_Xgboost_prediction,0.0006807320628686275
100_NeuralNetwork_prediction,0.0007299376377569944
1_DecisionTree_prediction,0.0007304619756022257
123_NeuralNetwork_prediction,0.0007393440028422349
26_LightGBM_prediction,0.0007440473520347491
121_ExtraTrees_prediction,0.0008388709917220404
Dist_Cluster_26,0.0008547292454649469
82_CatBoost_prediction,0.0008577890052759551
Dist_Cluster_16,0.0011388999272512912
61_NeuralNetwork_prediction,0.0011681805838265947
129_NearestNeighbors_prediction,0.001227331531142406
2_DecisionTree_prediction,0.0012997642191487247
116_ExtraTrees_prediction,0.0013847293161289187
128_NearestNeighbors_prediction,0.0017040221237229146
58_NeuralNetwork_prediction,0.001758541992785645
Dist_Cluster_5,0.0024322133596000215
109_CatBoost_prediction,0.0026171926801102476
31_CatBoost_prediction,0.003777297053308137
73_LightGBM_prediction,0.004018070352039871
24_LightGBM_KMeansFeatures_prediction,0.004402814598858695
Dist_Cluster_6,0.004554666378617544
22_LightGBM_KMeansFeatures_prediction,0.004847908281086233
104_LightGBM_prediction,0.0048994356196703
108_CatBoost_prediction,0.006204097141632859
Dist_Cluster_9,0.007294977996309427
79_CatBoost_prediction,0.008270244601363653
26_LightGBM_KMeansFeatures_prediction,0.009949838054052695
77_LightGBM_prediction,0.010734670338106534
106_CatBoost_prediction,0.01298704445743204
103_LightGBM_prediction,0.01837834920625938
22_LightGBM_prediction,0.02577316015323374
105_LightGBM_prediction,0.029024739551788394
